; Tables for Std model AutoHardSize capacity look-up rules
TABLE TrmlUnit
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd
;,,,,,(cfm),(cfm),( cfm)
,"Fan 9","ConstantVolume","ZnSys F2-4 3-Bed NW","Thermal Zone: F2-4 3-Bed NW",876.423,-99996.000,0.500,"BrakeHorsePower",1.273,0.352,0.500,"InAirStream",0.855
,"Fan 10","ConstantVolume","ZnSys F2-4 Studio SE","Thermal Zone: F2-4 Studio SE",481.869,-99996.000,0.500,"BrakeHorsePower",1.273,0.193,0.250,"InAirStream",0.855
,"Fan 11","ConstantVolume","ZnSys F2-4 Studio SW","Thermal Zone: F2-4 Studio SW",457.846,-99996.000,0.500,"BrakeHorsePower",1.273,0.184,0.250,"InAirStream",0.855
,"Fan 12","ConstantVolume","ZnSys F5 1-Bed Core N","Thermal Zone: F5 1-Bed Core N",402.856,-99996.000,0.500,"BrakeHorsePower",1.273,0.162,0.250,"InAirStream",0.855
,"Fan 13","ConstantVolume","ZnSys F5 1-Bed Core West","Thermal Zone: F5 1-Bed Core West",471.764,-99996.000,0.500,"BrakeHorsePower",1.273,0.189,0.250,"InAirStream",0.855
,"Fan 14","ConstantVolume","ZnSys F5 1-Bed Core East","Thermal Zone: F5 1-Bed Core East",485.122,-99996.000,0.500,"BrakeHorsePower",1.273,0.195,0.250,"InAirStream",0.855
,"Fan 15","ConstantVolume","ZnSys F5 1-Bed North","Thermal Zone: F5 1-Bed North",332.076,-99996.000,0.500,"BrakeHorsePower",1.273,0.133,0.250,"InAirStream",0.855
,"Fan 16","ConstantVolume","ZnSys F5 2-Bed Core NE-NW","Thermal Zone: F5 2-Bed Core NE-NW",405.697,-99996.000,0.500,"BrakeHorsePower",1.273,0.163,0.250,"InAirStream",0.855
,"Fan 17","ConstantVolume","ZnSys F5 2-Bed East","Thermal Zone: F5 2-Bed East",675.265,-99996.000,0.500,"BrakeHorsePower",1.273,0.271,0.500,"InAirStream",0.855
,"Fan 18","ConstantVolume","ZnSys F5 2-Bed West","Thermal Zone: F5 2-Bed West",698.084,-99996.000,0.500,"BrakeHorsePower",1.273,0.280,0.500,"InAirStream",0.855
,"Fan 19","ConstantVolume","ZnSys F5 3-Bed NE","Thermal Zone: F5 3-Bed NE",934.501,-99996.000,0.500,"BrakeHorsePower",1.273,0.375,0.500,"InAirStream",0.855
,"Fan 20","ConstantVolume","ZnSys F5 3-Bed NW","Thermal Zone: F5 3-Bed NW",963.585,-99996.000,0.500,"BrakeHorsePower",1.273,0.387,0.500,"InAirStream",0.855
,"Fan 21","ConstantVolume","ZnSys F5 Studio SE","Thermal Zone: F5 Studio SE",510.266,-99996.000,0.500,"BrakeHorsePower",1.273,0.205,0.250,"InAirStream",0.855
,"Fan 22","ConstantVolume","ZnSys F5 Studio SW","Thermal Zone: F5 Studio SW",477.813,-99996.000,0.500,"BrakeHorsePower",1.273,0.192,0.250,"InAirStream",0.855
,"Parking Garage Supply Fan","VariableSpeedDrive","Parking Garage Vent System","n/a",20925.000,4185.000,0.650,"BrakeHorsePower",3.877,19.669,20.000,"InAirStream",0.930
,"Parkig Garage Exhaust Fan","VariableSpeedDrive","Parking Garage Vent System","n/a",20925.000,4185.000,0.650,"BrakeHorsePower",3.877,19.669,20.000,"InAirStream",0.930
,"BaseSys5 Fan","VariableSpeedDrive","BaseSys5 F1","UNDEFINED",19577.600,5635.186,0.650,"BrakeHorsePower",5.362,25.451,30.000,"InAirStream",0.936
,"DOAS1 Fan","ConstantVolume","DOAS1","UNDEFINED",1611.000,-99996.000,0.650,"BrakeHorsePower",1.656,0.647,0.750,"InAirStream",0.855
ENDTABLE
TABLE OACtrl
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration
;
,"BaseSys5 OACtrl","DifferentialDryBulb","BaseSys5 F1","Integrated"
,"DOAS1 OACtrl","NoEconomizer","DOAS1","UNDEFINED"
ENDTABLE
