,,,,,,,Occupancy,,,Ventilation,,Design Input (By Component),,,,,Minimum Req. (By Component),,,,Simulated,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,Floor Area,Multiplier,Design,Minimum,Number,Spec. Method,Control,Per Occupant,Per Area,Per Volume,Per Space,Calculated Flow,Per Occupant,Per Area,Per Volume,Calculated Flow,,,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm),(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(cfm),,(cfm),(cfm),(cfm)
"F2-4 Studio SW","Building Story Residential Floors 2-4","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F2-4 Studio SW",540.0,3,3.7,3.7,2.0,"Sum","Fixed",7.5,0.03,0,0,31,7.5,0.03,0,31,0,0,31,"UNDEFINED",0,0,0
"F5 1-Bed Core N","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 1-Bed Core N",720.0,1,2.8,2.8,2.0,"Sum","Fixed",7.5,0.03,0,0,37,7.5,0.03,0,37,0,0,37,"UNDEFINED",0,0,0
"F5 1-Bed Core NE","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 1-Bed Core East",720.0,1,2.8,2.8,2.0,"Sum","Fixed",7.5,0.03,0,0,37,7.5,0.03,0,37,0,0,37,"UNDEFINED",0,0,0
"F5 1-Bed Core NW","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 1-Bed Core West",720.0,1,2.8,2.8,2.0,"Sum","Fixed",7.5,0.03,0,0,37,7.5,0.03,0,37,0,0,37,"UNDEFINED",0,0,0
"F5 1-Bed Core SE","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 1-Bed Core East",720.0,1,2.8,2.8,2.0,"Sum","Fixed",7.5,0.03,0,0,37,7.5,0.03,0,37,0,0,37,"UNDEFINED",0,0,0
"F5 1-Bed Core SW","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 1-Bed Core West",720.0,1,2.8,2.8,2.0,"Sum","Fixed",7.5,0.03,0,0,37,7.5,0.03,0,37,0,0,37,"UNDEFINED",0,0,0
"F5 1-Bed N","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 1-Bed North",744.0,1,2.7,2.7,2.0,"Sum","Fixed",7.5,0.03,0,0,37,7.5,0.03,0,37,0,0,37,"UNDEFINED",0,0,0
"F5 1-Bed NE Core","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 1-Bed North",744.0,1,2.7,2.7,2.0,"Sum","Fixed",7.5,0.03,0,0,37,7.5,0.03,0,37,0,0,37,"UNDEFINED",0,0,0
"F5 1-Bed NE Outer","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 1-Bed North",744.0,1,2.7,2.7,2.0,"Sum","Fixed",7.5,0.03,0,0,37,7.5,0.03,0,37,0,0,37,"UNDEFINED",0,0,0
"F5 1-Bed NW Core","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 1-Bed North",744.0,1,2.7,2.7,2.0,"Sum","Fixed",7.5,0.03,0,0,37,7.5,0.03,0,37,0,0,37,"UNDEFINED",0,0,0
